week_ending,acute_providers,total_providers,total_waiting_list,within_18w,18_to_26w,26_to_40w,40_to_52w,52_to_65w,65_to_78w,78_to_104w,over_104w,unknown_clock_start,pct_within_18w,pct_over_52w,first_attend_within_18w,first_attend_total,pct_first_attend_within_18w,new_rtt_acute,new_rtt_total_providers,new_rtt_total,completed_acute,completed_total_providers,completed_total,admitted_rtt,non_admitted_rtt,month,month_name,year,days_since_start
2021-09-19,136.0,333.0,5370227,3487589,701301,585740,293604,127904,36758,111994,11579,13758,0.6510985128449357,0.05381063532711568,,,-,131.0,255.0,361493.0,111.0,229.0,235136.0,51923.0,183213.0,9,Sep,2021,0
2021-09-26,138.0,361.0,5540982,3578280,735212,610901,301995,135307,38199,112963,14499,13626,0.647376430973507,0.05445062702673756,,,-,133.0,277.0,371951.0,111.0,230.0,232637.0,51033.0,181604.0,9,Sep,2021,7
2021-10-03,135.0,360.0,5593220,3601680,769923,613305,291848,139574,39778,107573,13552,15987,0.6457825950610275,0.05387564048337231,,,-,132.0,274.0,364078.0,110.0,228.0,235199.0,52026.0,183173.0,10,Oct,2021,14
2021-10-10,134.0,353.0,5453547,3549616,739286,603761,261875,137359,40662,96811,13209,10968,0.6521937485886746,0.052923623157330374,,,-,131.0,268.0,359996.0,108.0,225.0,242666.0,54704.0,187962.0,10,Oct,2021,21
2021-10-17,136.0,330.0,5588639,3614395,763427,627137,264890,146412,45255,96505,14524,16094,0.6486075931194814,0.05431916655675279,,,-,129.0,274.0,361288.0,110.0,230.0,239992.0,52691.0,187301.0,10,Oct,2021,28
2021-10-24,132.0,335.0,5309240,3430170,728122,607756,244920,139872,45289,86564,14664,11883,0.6475247939680109,0.054062620284039756,,,-,129.0,269.0,352035.0,107.0,215.0,225942.0,49538.0,176404.0,10,Oct,2021,35
2021-10-31,136.0,354.0,5579362,3586371,767346,661048,255679,148023,50210,84199,15991,10495,0.6440037084742731,0.053587740558357744,,,-,131.0,271.0,324805.0,108.0,220.0,199732.0,44592.0,155140.0,10,Oct,2021,42
2021-11-07,134.0,352.0,5516443,3533463,769764,657063,249885,148067,52684,78992,16146,10379,0.6417402703637298,0.053738750584809765,,,-,130.0,275.0,398389.0,108.0,202.0,235517.0,52041.0,183476.0,11,Nov,2021,49
2021-11-14,135.0,351.0,5649161,3602483,788208,688373,254640,152924,56463,77643,17200,11227,0.6389721837822152,0.05396125602037909,,,-,131.0,273.0,398799.0,110.0,209.0,238395.0,53016.0,185379.0,11,Nov,2021,56
2021-11-21,136.0,329.0,5677412,3598109,784706,711244,255753,155903,59832,74801,20223,16841,0.6356441779460058,0.05489887857603058,,,-,133.0,276.0,388966.0,110.0,206.0,238521.0,52261.0,186260.0,11,Nov,2021,63
